rbt_id,lane,seq,x,y
RBT05,0,76,1281.737,1648.24
RBT05,0,77,1288.548,1642.809
RBT05,0,78,1295.635,1637.745
RBT05,0,79,1302.98,1633.062
RBT05,0,80,1310.562,1628.773
RBT05,0,81,1318.36,1624.89
RBT05,0,82,1326.352,1621.424
RBT05,0,83,1334.516,1618.385
RBT05,0,84,1342.828,1615.78
RBT05,0,85,1351.267,1613.619
RBT05,0,86,1359.807,1611.905
RBT05,0,87,1368.427,1610.645
RBT05,0,88,1377.1,1609.841
RBT05,0,89,1385.805,1609.496
RBT05,0,90,1394.515,1609.611
RBT05,0,91,1403.207,1610.186
RBT05,0,92,1411.856,1611.218
RBT05,0,93,1420.439,1612.705
RBT05,0,94,1428.932,1614.644
RBT05,0,95,1437.31,1617.028
RBT05,0,96,1445.551,1619.85
RBT05,0,97,1453.632,1623.104
RBT05,0,98,1461.529,1626.78
RBT05,0,99,1469.222,1630.867
RBT05,0,100,1476.688,1635.355
RBT05,0,101,1483.907,1640.23
RBT05,0,102,1490.858,1645.479
RBT05,0,103,1497.523,1651.089
RBT05,0,104,1503.883,1657.042
RBT05,0,105,1509.919,1663.322
RBT05,0,106,1515.616,1669.912
RBT05,0,107,1520.956,1676.794
RBT05,0,108,1525.927,1683.948
RBT05,0,109,1530.512,1691.354
RBT05,0,110,1534.701,1698.992
RBT05,0,111,1538.48,1706.84
RBT05,0,112,1541.84,1714.877
RBT05,0,113,1544.772,1723.08
RBT05,0,114,1547.266,1731.426
RBT05,0,115,1549.316,1739.892
RBT05,0,116,1550.917,1748.455
RBT05,0,117,1552.063,1757.09
RBT05,0,118,1552.753,1765.774
RBT05,0,119,1552.983,1774.482
RBT06,0,0,3339.894,2899.625
RBT06,0,1,3339.588,2911.236
RBT06,0,2,3338.669,2922.814
RBT06,0,3,3337.14,2934.328
RBT06,0,4,3335.006,2945.745
RBT06,0,5,3332.272,2957.033
RBT06,0,6,3328.947,2968.161
RBT06,0,7,3325.038,2979.099
RBT06,0,8,3320.558,2989.814
RBT06,0,9,3315.519,3000.279
RBT06,0,10,3309.934,3010.463
RBT06,0,11,3303.82,3020.338
RBT06,0,12,3297.193,3029.876
RBT06,0,13,3290.072,3039.052
RBT06,0,14,3282.476,3047.839
RBT06,0,15,3274.428,3056.212
RBT06,0,16,3265.949,3064.15
RBT06,0,17,3257.062,3071.628
RBT06,0,18,3247.794,3078.628
RBT06,0,19,3238.168,3085.128
RBT06,0,20,3228.214,3091.112
RBT06,0,21,3217.957,3096.561
RBT06,0,22,3207.427,3101.462
RBT06,0,23,3196.653,3105.8
RBT06,0,24,3185.665,3109.564
RBT06,0,25,3174.494,3112.743
RBT06,0,26,3163.17,3115.327
RBT06,0,27,3151.726,3117.31
RBT06,0,28,3140.193,3118.687
RBT06,0,29,3128.604,3119.453
RBT06,0,30,3116.991,3119.606
RBT06,0,31,3105.385,3119.146
RBT06,0,32,3093.82,3118.075
RBT06,0,33,3082.328,3116.394
RBT06,0,34,3070.94,3114.11
RBT06,0,35,3059.689,3111.227
RBT06,0,36,3048.605,3107.755
RBT06,0,37,3037.72,3103.702
RBT06,0,38,3027.065,3099.081
RBT06,0,39,3016.668,3093.904
RBT06,0,40,3006.558,3088.186
RBT06,0,41,2996.765,3081.942
RBT06,0,42,2987.315,3075.189
RBT06,0,43,2978.234,3067.948
RBT06,0,44,2969.548,3060.237
RBT06,0,45,2961.282,3052.079
RBT06,0,46,2953.457,3043.495
RBT06,0,47,2946.096,3034.511
RBT06,0,48,2939.22,3025.151
RBT06,0,49,2932.847,3015.441
RBT06,0,50,2926.995,3005.408
RBT06,0,51,2921.681,2995.08
RBT06,0,52,2916.92,2984.486
RBT06,0,53,2912.724,2973.656
RBT06,0,54,2909.106,2962.619
RBT06,0,55,2906.075,2951.407
RBT06,0,56,2903.64,2940.05
