node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,is_candidate,candidate_type,candidate_id,route_hit_count
5023,3700.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5024,3750.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5025,3800.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5026,3850.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5027,3900.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5028,3950.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
5029,4000.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5030,4050.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5031,4100.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5032,4150.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5033,4200.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
5034,4250.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
5035,4300.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
5036,4350.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5037,4400.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5038,4450.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5039,4500.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5040,4550.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5041,4600.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
5042,4650.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
5043,4700.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
