t_s,n_airborne,n_holding,min_approach_m,n_done,n_backlog,n_active
11700.0,42,1,153.78163963741304,360,0,41
11720.0,42,1,142.0288181650586,360,0,41
11740.0,41,4,128.17620857600792,361,0,40
11760.0,41,2,66.54680199481989,362,0,40
11780.0,38,2,65.29250371464498,365,0,37
11800.0,39,2,65.65000115682098,366,0,38
11820.0,39,3,67.98796370783113,366,0,38
11840.0,41,2,73.83520270912693,366,0,40
11860.0,43,4,62.84552111375817,366,0,42
11880.0,42,4,46.59404218490813,367,0,41
11900.0,45,5,35.870799252579715,368,1,44
11920.0,45,6,18.01196188109128,369,2,44
11940.0,46,3,28.685779401063623,370,0,45
11960.0,45,2,112.53968723882186,370,2,44
11980.0,46,3,192.0401479613639,370,2,46
12000.0,48,3,10.2429511255427,370,1,48
