t_s,agent_a,agent_b,gap_m,x,y,res_a,res_b,flight_level
17460.0,640,419,8.15,2129.6,1564.0,RBT04__RBT08#B,RBT04#RING,3
17480.0,640,419,35.05,2118.5,1582.4,RBT04__RBT08#B,RBT04#RING,3
17500.0,920,942,25.39,244.0,3786.5,DK01__RBT16#A,DK01__TN1#B,4
17560.0,780,401,43.93,2037.7,1412.7,DB02__RBT04#B,RBT04#RING,4
17600.0,942,966,47.39,186.7,3571.8,DK01__RBT16#A,TN1__RBT16#A,4
17620.0,942,966,24.06,157.5,3459.1,RBT16#RING,TN1__RBT16#A,4
17840.0,748,770,38.5,751.2,4240.7,DB01__TN2#A,DB01__TN7#A,0
17860.0,748,770,49.6,774.6,4261.1,DB01__TN2#A,DB01__TN7#A,0
17920.0,602,724,34.31,815.8,4208.9,DB01__TN7#B,DB01__TN2#B,3
17940.0,602,724,12.92,795.4,4196.4,DB01__TN7#B,DB01__TN2#B,3
17940.0,602,970,45.22,785.3,4180.3,DB01__TN7#B,DK01__DB01#B,3
17940.0,724,970,37.95,778.9,4181.0,DB01__TN2#B,DK01__DB01#B,3
17960.0,602,724,8.49,774.4,4183.8,DB01__TN7#B,DB01__TN2#B,3
17960.0,602,970,46.64,764.9,4161.4,DB01__TN7#B,DK01__DB01#B,3
17960.0,724,970,48.71,769.1,4161.1,DB01__TN2#B,DK01__DB01#B,3
17960.0,796,990,48.55,721.4,4212.9,DB01__RN3#A,DB01__TN1#A,2
18040.0,395,992,37.15,714.4,4177.6,DB01__RBT15#B,DB01__TN12#A,1
18060.0,395,992,27.86,711.2,4206.3,DB01__RBT15#B,DB01__TN12#A,1
18180.0,796,818,42.15,1345.1,4842.4,TN12__TN2#A,DB01__TN2#A,0
19480.0,896,996,30.4,1589.1,2993.3,DK05__RBT12#A,RBT12#RING,2
19500.0,896,996,16.54,1596.1,3011.8,DK05__RBT12#A,RBT12#RING,2
19740.0,483,491,23.21,163.8,3241.6,RBT11__RBT16#A,RBT16#RING,1
19980.0,848,942,20.04,626.2,3272.5,RBT11__RBT15#A,RBT15#RING,1
19980.0,872,896,41.22,836.3,4227.5,DB01__TN2#B,DB01__TN7#B,3
20000.0,872,896,26.67,814.0,4209.7,DB01__TN2#B,DB01__TN7#B,3
20020.0,872,896,20.18,791.2,4191.4,DB01__TN2#B,DB01__TN7#B,3
20100.0,826,467,26.45,2135.7,1523.8,RBT03__RBT04#A,RBT04#RING,2
20120.0,826,467,17.54,2134.5,1545.7,RBT03__RBT04#A,RBT04#RING,2
20140.0,411,868,6.4,753.1,4235.1,DB01__TN2#A,DB01__TN7#A,0
20160.0,411,868,16.54,776.2,4253.3,DB01__TN2#A,DB01__TN7#A,0
20180.0,411,868,36.9,800.4,4273.1,DB01__TN2#A,DB01__TN7#A,0
20600.0,866,880,29.73,2251.3,2832.4,DK05__RBT13#A,DK05__RBT07#B,0
22000.0,980,998,22.82,2284.8,553.4,DB02__TN8#A,DB02__RBT02#A,5
22540.0,425,535,39.83,1489.2,2957.8,RBT07__RBT12#A,RBT12#RING,1
22560.0,425,535,2.71,1505.1,2957.7,RBT07__RBT12#A,RBT12#RING,1
22580.0,425,535,33.34,1522.9,2960.4,RBT07__RBT12#A,RBT12#RING,1
24800.0,529,583,14.96,767.1,4177.9,DK01__DB01#B,DB01__TN7#B,3
29060.0,895,919,34.37,444.7,2742.9,RBT11#RING,TN10__RBT11#A,1
29080.0,727,775,41.3,1486.2,2961.9,RBT07__RBT12#A,RBT12#RING,1
29100.0,727,775,7.86,1502.5,2957.9,RBT07__RBT12#A,RBT12#RING,1
29120.0,727,775,27.85,1520.2,2959.6,RBT07__RBT12#A,RBT12#RING,1
29140.0,895,919,10.74,433.9,2737.8,RBT11#RING,TN10__RBT11#A,1
29240.0,549,573,40.41,1998.4,1620.2,RBT04#RING,RBT04__RBT07#B,4
29380.0,549,573,3.06,2018.7,1627.8,RBT04#RING,RBT04__RBT07#B,4
29520.0,799,895,42.57,607.2,3297.1,RBT11__RBT15#A,RBT15#RING,1
29540.0,799,895,49.78,640.1,3266.5,RBT11__RBT15#A,RBT15#RING,1
