route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DK01_to_DK05_forward_backup_03,DK01_to_DK05,forward_backup_03,forward,backup,3,3659.1883092036787,63,1,0,0:0.333
DK01_to_DK05_forward_main_01,DK01_to_DK05,forward_main_01,forward,main,1,2410.660171779821,43,1,0,0:1.000
DK01_to_DK05_forward_main_02,DK01_to_DK05,forward_main_02,forward,main,2,2539.949493661167,46,1,0,0:0.717
DK01_to_DK05_forward_main_03,DK01_to_DK05,forward_main_03,forward,main,3,2752.081528017131,49,1,0,0:0.347
DK01_to_DK06_backward_backup_01,DK01_to_DK06,backward_backup_01,backward,backup,1,3233.452377915607,52,1,0,0:0.385
DK01_to_DK06_backward_backup_02,DK01_to_DK06,backward_backup_02,backward,backup,2,1660.6601717798217,28,1,0,0:0.857
DK01_to_DK06_backward_backup_03,DK01_to_DK06,backward_backup_03,backward,backup,3,5604.163056034262,99,1,0,0:0.596
DK01_to_DK06_backward_backup_04,DK01_to_DK06,backward_backup_04,backward,backup,4,6328.42712474619,111,1,0,0:0.342
DK01_to_DK06_backward_main_01,DK01_to_DK06,backward_main_01,backward,main,1,4174.873734152917,70,1,0,0:0.900
DK01_to_DK06_backward_main_02,DK01_to_DK06,backward_main_02,backward,main,2,1407.1067811865476,25,1,0,0:1.000
DK01_to_DK06_backward_main_03,DK01_to_DK06,backward_main_03,backward,main,3,5033.452377915607,88,1,0,0:0.761
DK01_to_DK06_backward_main_04,DK01_to_DK06,backward_main_04,backward,main,4,5945.584412271572,105,1,0,0:0.562
DK01_to_DK06_forward_backup_01,DK01_to_DK06,forward_backup_01,forward,backup,1,1307.1067811865478,23,1,0,0:0.870
DK01_to_DK06_forward_backup_02,DK01_to_DK06,forward_backup_02,forward,backup,2,1448.528137423857,25,1,0,0:1.000
DK01_to_DK06_forward_backup_03,DK01_to_DK06,forward_backup_03,forward,backup,3,1902.081528017131,32,1,0,0:0.688
DK01_to_DK06_forward_backup_04,DK01_to_DK06,forward_backup_04,forward,backup,4,5945.584412271572,105,1,0,0:0.562
DK01_to_DK06_forward_main_01,DK01_to_DK06,forward_main_01,forward,main,1,1377.8174593052022,24,1,0,0:1.000
DK01_to_DK06_forward_main_02,DK01_to_DK06,forward_main_02,forward,main,2,1519.238815542512,26,1,0,0:0.885
DK01_to_DK06_forward_main_03,DK01_to_DK06,forward_main_03,forward,main,3,1702.081528017131,28,1,0,0:0.821
DK01_to_DK06_forward_main_04,DK01_to_DK06,forward_main_04,forward,main,4,5604.163056034262,99,1,0,0:0.596
DK02_to_DK03_backward_backup_01,DK02_to_DK03,backward_backup_01,backward,backup,1,6195.584412271572,110,1,0,0:0.655
DK02_to_DK03_backward_main_01,DK02_to_DK03,backward_main_01,backward,main,1,5912.741699796952,106,1,0,0:0.774
DK02_to_DK03_backward_main_03,DK02_to_DK03,backward_main_03,backward,main,3,3057.106781186548,58,1,0,0:0.672
DK02_to_DK03_backward_main_04,DK02_to_DK03,backward_main_04,backward,main,4,3057.106781186548,58,1,0,0:0.672
DK02_to_DK03_forward_backup_01,DK02_to_DK03,forward_backup_01,forward,backup,1,3417.766952966369,59,1,0,0:0.797
