pair,alt,seq,x,y,risk,conflict
DB02_to_DK05#alt5,5,4,1950.0,500.0,0.2151,0.0
DB02_to_DK05#alt5,5,5,1900.0,550.0,0.2609,0.0
DB02_to_DK05#alt5,5,6,1850.0,600.0,0.3269,0.0
DB02_to_DK05#alt5,5,7,1800.0,650.0,0.4076,0.0
DB02_to_DK05#alt5,5,8,1750.0,700.0,0.503,0.0
DB02_to_DK05#alt5,5,9,1700.0,750.0,0.6065,0.0
DB02_to_DK05#alt5,5,10,1650.0,800.0,0.7165,0.0
DB02_to_DK05#alt5,5,11,1700.0,850.0,0.6065,0.0
DB02_to_DK05#alt5,5,12,1750.0,900.0,0.5134,0.0
DB02_to_DK05#alt5,5,13,1700.0,950.0,0.6065,0.0
DB02_to_DK05#alt5,5,14,1700.0,1000.0,0.5903,0.0
DB02_to_DK05#alt5,5,15,1650.0,1050.0,0.6241,0.0
DB02_to_DK05#alt5,5,16,1600.0,1100.0,0.7165,0.0
DB02_to_DK05#alt5,5,17,1600.0,1150.0,0.6889,0.0
DB02_to_DK05#alt5,5,18,1550.0,1200.0,0.6889,0.0
DB02_to_DK05#alt5,5,19,1550.0,1250.0,0.6241,0.0
DB02_to_DK05#alt5,5,20,1550.0,1300.0,0.5483,0.0
DB02_to_DK05#alt5,5,21,1550.0,1350.0,0.4931,0.0
DB02_to_DK05#alt5,5,22,1550.0,1400.0,0.4346,0.0
DB02_to_DK05#alt5,5,23,1550.0,1450.0,0.3895,0.0
DB02_to_DK05#alt5,5,24,1600.0,1500.0,0.3077,0.0
DB02_to_DK05#alt5,5,25,1600.0,1550.0,0.2721,0.0
DB02_to_DK05#alt5,5,26,1650.0,1600.0,0.2231,0.0
DB02_to_DK05#alt5,5,27,1650.0,1650.0,0.2407,0.0
DB02_to_DK05#alt5,5,28,1700.0,1700.0,0.2609,0.0
DB02_to_DK05#alt5,5,29,1700.0,1750.0,0.3006,0.0
DB02_to_DK05#alt5,5,30,1750.0,1800.0,0.3077,0.0
DB02_to_DK05#alt5,5,31,1750.0,1850.0,0.344,0.0
DB02_to_DK05#alt5,5,32,1750.0,1900.0,0.3895,0.0
DB02_to_DK05#alt5,5,33,1750.0,1950.0,0.4346,0.0
DB02_to_DK05#alt5,5,34,1750.0,2000.0,0.4746,0.0
DB02_to_DK05#alt5,5,35,1750.0,2050.0,0.503,0.0
DB02_to_DK05#alt5,5,36,1750.0,2100.0,0.5134,0.0
DB02_to_DK05#alt5,5,37,1750.0,2150.0,0.5134,0.0
DB02_to_DK05#alt5,5,38,1750.0,2200.0,0.5134,0.0
